no;fecha;ley taller;peso taller;ley jerusalen;peso factura;peso oro puro factura;peso oro puro real;diferencia peso oro puro;diferencia en valor
1;5/15/2025;"0,874";"144,6";"0,88";"144,6";"127,2";"127,248";"0,048";-20400
2;5/19/2025;"0,893";"117,64";"0,866";"117,64";"101,89";"101,87624";"-0,01376";"5710,4"
3;5/19/2025;"0,92";"12,31";"0,938";"12,3";"11,53";"11,54678";"0,01678";"-6963,7"
4;5/19/2025;"0,895";"2,84";"0,875";"2,84";"2,48";"2,485";"0,005";-2075
5;5/19/2025;"0,894";"4,18";"0,858";"4,21";"3,61";"3,58644";"-0,02356";"9777,4"
6;5/19/2025;"0,9";"7,41";"0,915";"7,41";"6,78";"6,78015";"0,00015";"-62,25"
7;5/19/2025;"0,9";"11,44";"0,859";"11,45";"9,83";"9,82696";"-0,00304";"1261,6"
8;5/24/2025;"0,89";"3,28";"0,883";"3,3";3;"2,89624";"-0,10376";"43579,2"
9;5/24/2025;"0,901";"3,67";"0,903";"3,67";"3,31401";"3,31401";0;0
10;5/24/2025;;"8,22";"0,875";"8,2";"7,2";"7,1925";"-0,0075";3150
11;5/24/2025;"0,89";"9,07";"0,88";"9,1";8;"7,9816";"-0,0184";7728
12;5/24/2025;;"75,66";"0,895";"75,66";"67,8";"67,7157";"-0,0843";35406
13;5/26/2025;"0,896";"5,85";"0,902";"5,85";"5,27";"5,2767";"0,0067";"-2847,5"
14;5/26/2025;"0,884";"149,37";"0,884";"149,35";132;"132,04308";"0,04308";-18309
15;5/26/2025;;"8,31";"0,906";"8,3";"7,51";"7,52886";"0,01886";"-8015,5"
16;5/29/2025;;"11,75";"0,921";"11,75";"10,82";"10,82175";"0,00175";-728
17;5/29/2025;;"9,22";"0,923";"9,22";"8,51";"8,51006";6E-05;"-24,96"
18;5/29/2025;"0,87";"113,47";"0,884";"113,47";"100,3";"100,30748";"0,00748";"-3111,68"
19;6/3/2025;"0,91";"9,47";"0,916";"9,47";"8,67";"8,67452";"0,00452";-1921
20;6/3/2025;"0,94";"4,58";"0,924";"4,58";"4,23";"4,23192";"0,00192";-816
21;6/3/2025;"0,89";"18,6";"0,897";"18,59";"16,67";"16,6842";"0,0142";-6035
