no;fecha;total peso taller;total peso factura;total peso oro puro fact;base orotec;base venta;diferencia entre bases;total venta;compra base orotec;utilidad sociedad total;utilidad taller;utilidad ala;observaciones;total pagado en factura
1;5/15/2025;144,6;144,59;127,2;410000;425000;15000;54060000;52152000;1908000;1144800;763200;No coinciden valores entre factura y el valor real de la venta;54005600
2;5/19/2025;155,82;155,85;136,12;400000;415000;15000;56489800;54448000;2041800;1225080;816720;No coinciden valores entre factura y el valor real de la venta;56481500
3;5/24/2025;99,9;;89,59;412000;420000;8000;37627800;36911080;716720;430032;286688;;37627800
4;5/26/2025;163,53;163,5;144,78;412000;425000;13000;61531500;59649360;1882140;1129284;752856;;61531500
5;5/29/2025;134,44;134,44;119,63;405945;416000;10055;49766080;48563200,35;1202879,65;721727,79;481151,86;;49766080
6;6/3/2025;176,03;176;156,96;410000;425000;15000;66708000;64353600;2354400;1412640;941760;;66708000
7;6/5/2025;209,97;209,97;188,35;410000;420000;10000;79107000;77223500;1883500;1130100;753400;;79107000
8;6/9/2025;188,05;188,05;168,06;408000;418000;10000;70249080;68568480;1680600;1008360;672240;;70249080
9;6/12/2025;127,71;127,68;104,96;414000;425000;11000;44608000;43453440;1154560;692736;461824;;44608000
10;6/16/2025;82,18;82,16;69,86;420000;430000;10000;30039800;29341200;698600;419160;279440;Según fotos espectometría, da 47,23. Ellos pagan 44,55;30039800
11;6/19/2025;108,35;108,33;97,9;420000;423000;3000;41411700;41118000;293700;176220;117480;;41411700
12;6/24/2025;238,58;238,6;211,09;405000;418000;13000;88235620;85491450;2744170;1646502;1097668;;88235620
13;7/1/2025;318,43;318,43;283,52;405000;419000;14000;118794880;114825600;3969280;2381568;1587712;;118794880
14;7/3/2025;170,98;170,98;118,21;396000;412000;16000;48702520;46811160;1891360;1134816;756544;;48702520
15;7/7/2025;293,06;293,01;243,61;396000;412000;16000;100367320;96469560;3897760;2338656;1559104;;100367320
16;7/11/2025;133,03;132,95;117,37;398000;413000;15000;48473810;46713260;1760550;1056330;704220;;48473810
17;7/14/2025;159,7;159,6;141,62;398000;414000;16000;58630680;56364760;2265920;1359552;906368;;58630680
18;7/16/2025;61,7;61,7;55,81;398000;414000;16000;23105340;22212380;892960;535776;357184;;23105340
19;7/21/2025;428,21;428,21;364,95;406000;419000;13000;152914050;148169700;4744350;2846610;1897740;;152914050
20;7/24/2025;154,89;154,89;135,29;409000;422000;13000;57092380;55333610;1758770;1055262;703508;;57092380
21;7/28/2025;292,19;292,19;224,78;412000;426000;14000;95756280;92609360;3146920;1888152;1258768;;97886280
22;7/31/2025;181,13;181,13;155,75;410000;423000;13000;65882250;63857500;2024750;1214850;809900;;65882250
23;8/4/2025;276,41;276,41;240,76;410000;424000;14000;102082240;98711600;3370640;2022384;1348256;;102082240
24;8/6/2025;276,51;276,49;214,53;407000;424000;17000;90960720;87313710;3647010;2188206;1458804;;90960720
25;8/12/2025;52,02;52,02;45,72;407000;420000;13000;19202400;18608040;594360;356616;237744;;19202400
26;8/15/2025;159;156;136,95;407000;415000;8000;56834250;55738650;1095600;657360;438240;;56834250
27;8/19/2025;262,25;262,25;204,86;407000;415000;8000;85016900;83378020;1638880;983328;655552;;84938050
28;8/21/2025;86,51;86,51;76,14;407000;414000;7000;31521960;30988980;532980;319788;213192;;31521960
29;8/25/2025;261,54;228,04;228,04;398000;418000;20000;95320720;90759920;4560800;2736480;1824320;;97176640
30;8/27/2025;179,73;179,73;141,98;398000;422000;24000;59915560;56508040;3407520;2044512;1363008;;59915560
31;9/1/2025;246,73;245,73;216,6;398000;427000;29000;92488200;86206800;6281400;3768840;2512560;;92488200
32;9/4/2025;159,33;158,26;124,15;423000;437000;14000;54253550;52515450;1738100;1042860;695240;;54253550
33;9/8/2025;102,7;102,6;88,51;423000;437000;14000;38678870;37439730;1239140;743484;495656;;38678870
34;9/11/2025;224,62;214,62;192,3;423000;437000;14000;84035100;81342900;2692200;1615320;1076880;;84035100
35;9/15/2025;226,27;226,27;187,75;423150;437000;13850;82046750;79446412,5;2600337,5;1560202,5;1040135;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;82610000
36;9/18/2025;137,67;137,67;116,3;423150;437000;13850;50823100;49212345;1610755;966453;644302;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;50823100
37;9/22/2025;160,44;160,44;127,6;428730;440000;11270;56144000;54705948;1438052;862831,2;575220,8;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;56144000
38;9/25/2025;67,91;67,91;59,88;423000;448000;25000;26826240;25329240;1497000;898200;598800;;26826240
39;9/29/2025;266,98;261,98;211,95;444540;460000;15460;97497000;94220253;3276747;1966048,2;1310698,8;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;97497000
40;10/2/2025;157,46;157,46;117,67;451050;460000;8950;54128200;53075053,5;1053146,5;631887,9;421258,6;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;54128200
41;10/6/2025;156,67;151,68;134,86;454770;465000;10230;62709900;61330282,2;1379617,8;827770,68;551847,12;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;62709900
42;10/9/2025;158,47;158,47;126,54;467790;480000;12210;60739200;59194146,6;1545053,4;927032,04;618021,36;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;60739200
43;10/14/2025;49,28;49,3;44,27;485460;480000;-5460;21249600;21491314,2;-241714,2;-145028,52;-96685,68;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;21249600
44;10/17/2025;300,8;300,82;233,43;489180;505000;15820;117882150;114189287,4;3692862,6;2215717,56;1477145,04;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;117882150
45;10/20/2025;235,38;235,38;208,26;504060;510000;5940;106212600;104975535,6;1237064,4;742238,64;494825,76;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;106212600
46;10/23/2025;136,38;136,38;106,3;433000;496000;63000;52724800;46027900;6696900;4018140;2678760;;52724800
47;10/25/2025;102,5;102,5;90,61;475230;482000;6770;43674020;43060590,3;613429,7;368057,82;245371,88;Falta factura Yarden. Como no se tiene referencia Orotec, se toma el valor referencia Medellín;43674020
48;10/28/2025;323,87;323,87;262,58;457560;482000;24440;126563560;120146104,8;6417455,2;3850473,12;2566982,08;Falta factura Yarden. No coinciden valores entre factura y el valor real de la venta.  Como no se tiene referencia Orotec, se toma el valor referencia Medellín;126616580
